original	target	ner_tag
县对泗水汉景帝三年有白颈乌与黑乌群斗于县白颈乌不胜堕泗水中死者数千	县对泗水，汉景帝三年，有白颈乌与黑乌群斗于县，白颈乌不胜，堕泗水中，死者数千。	[13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
曰无得	曰：无得。	[3, 13, 0]
且以臣府参僚不免身首异处	且以臣府参僚，不免身首异处。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
群臣三表论谏乃止	群臣三表论谏，乃止。	[13, 13, 13, 13, 13, 2, 13, 0]
中沟为地以受注水	中沟为地，以受注水。	[13, 13, 13, 2, 13, 13, 13, 0]
秋七月匈奴左贤王卫辰右贤王曹谷帅众二万侵苻坚杏城	秋七月，匈奴左贤王卫辰、右贤王曹谷帅众二万侵苻坚杏城。	[13, 13, 2, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
己亥封成帝子丕为琅邪王奕为东海王	己亥，封成帝子丕为琅邪王，奕为东海王。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
孔子之谓集大成	孔子之谓集大成。	[13, 13, 13, 13, 13, 13, 0]
今不行刑年复一年充满囹圄既费关防又乖国典其于政体又大谬也	今不行刑，年复一年，充满囹圄，既费关防，又乖国典，其于政体又大谬也。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
宜蒙表擢以厉义士	宜蒙表擢，以厉义士。	[13, 13, 13, 2, 13, 13, 13, 0]
穆帝永和八年六月辛巳日未入有流星大如三斗魁从辰巳上东南行	穆帝永和八年六月辛巳，日未入，有流星大如三斗魁，从辰巳上，东南行。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 0]
秀收郎文书得吏民与郎交关谤毁者数千章	秀收郎文书，得吏民与郎交关谤毁者数千章。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
子真在逸人传滕抚字叔辅北海剧人也	子真，在《逸人传》。滕抚字叔辅，北海剧人也。	[13, 2, 10, 13, 13, 11, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
则小人绝其私佞君子自强不息无为之治何远之有	则小人绝其私佞，君子自强不息，无为之治，何远之有？	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 9]
扬州刺史曹武杀丹阳太守硃建	扬州刺史曹武杀丹阳太守硃建。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
臣愿封留足矣不敢当三万户	臣愿封留足矣，不敢当三万户。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
王钦若忌准欲倾之从容言曰此春秋城下之盟也诸侯犹耻之而陛下以为功臣窃不取帝愀然曰为之奈何钦若度帝厌兵即谬曰陛下以兵取幽燕乃可涤耻帝曰河朔生灵始免兵革朕安能为此	王钦若忌准，欲倾之，从容言曰：此《春秋》城下之盟也，诸侯犹耻之，而陛下以为功，臣窃不取。帝愀然曰：为之奈何？钦若度帝厌兵，即谬曰：陛下以兵取幽燕，乃可涤耻。帝曰：河朔生灵始免兵革，朕安能为此？	[13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 3, 10, 13, 11, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0, 13, 13, 13, 3, 13, 13, 13, 9, 13, 13, 13, 13, 13, 2, 13, 13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0, 13, 3, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 9]
丙戌京师解严	丙戌，京师解严。	[13, 2, 13, 13, 13, 0]
改福建市舶都漕运司为都转运盐使司	改福建市舶都漕运司为都转运盐使司。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
门外神库或一或二神厨宰牲亭有圣迹碑亭	门外神库或一或二，神厨宰牲亭，有圣迹碑亭。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
自后相承效之至今告命及符牒所书亦云权郎官固已甚野至于尚左待右之名遂入除目皆小吏不谙熟故事驯以致然书之记注为不美耳	自后相承效之，至今告命及符牒所书，亦云权郎官，固已甚野，至于尚左、待右之名，遂入除目，皆小吏不谙熟故事，驯以致然，书之记注，为不美耳。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 8, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
方以瓦布之而动如初	方以瓦布之，而动如初。	[13, 13, 13, 13, 2, 13, 13, 13, 0]
高祖醉曰壮士行何畏	高祖醉，曰：壮士行，何畏！	[13, 13, 2, 3, 13, 13, 2, 13, 12]
机士曰愿见教	机士曰：愿见教。	[13, 13, 3, 13, 13, 0]
太后及齐主召问士开对曰先帝于群臣之中待臣最厚	太后及齐主召问士开，对曰：先帝于群臣之中，待臣最厚。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
或食柏叶饮水自给不嗜五谷	或食柏叶，饮水自给，不嗜五谷。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
太后欲久专国政贪立幼年与显等定策禁中迎济北惠王子北乡侯懿为嗣	太后欲久专国政，贪立幼年，与显等定策禁中，迎济北惠王子北乡侯懿为嗣。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]
飞伐君山木为巨筏塞诸港汊又以腐木乱草浮上流而下择水浅处遣善骂者挑之且行且骂	飞伐君山木为巨筏，塞诸港汊，又以腐木乱草，浮上流而下。择水浅处，遣善骂者挑之，且行且骂。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
乙巳禁服用翠羽	乙巳，禁服用翠羽。	[13, 2, 13, 13, 13, 13, 0]
太宗左右射之无不应弦而倒获其大将燕颀	太宗左右射之，无不应弦而倒，获其大将燕颀。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
而绶不斥受献不伤放弃上赏为知去就也	而绶不斥受献，不伤放弃，上赏为知去就也。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
常衮为相始立限约至李泌又量其闲剧随事增加时谓通济理难减削	常衮为相，始立限约，至李泌又量其闲剧，随事增加，时谓通济，理难减削。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
丁亥突厥寇原州遣折威将军杨毛击之	丁亥，突厥寇原州，遣折威将军杨毛击之。	[13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 0]
又曰试观今日之域中竟是谁家之天下	又曰：试观今日之域中，竟是谁家之天下！	[13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 12]
桑哥言自至元丙子置应昌和籴所其间必多盗诈宜加钩考	桑哥言：自至元丙子置应昌和籴所，其间必多盗诈，宜加钩考。	[13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
陆光祖字与绳平湖人	陆光祖，字与绳，平湖人。	[13, 13, 2, 13, 13, 2, 13, 13, 0]
亦管知诏令世呼为小门下	亦管知诏令，世呼为小门下；	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 1]
臣以非材见私天下知臣受恩深也以病得全骸骨归天下知臣被恩见哀重巍巍也	臣以非材见私，天下知臣受恩深也；以病得全骸骨归，天下知臣被恩见哀，重巍巍也。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 1, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
盖一山而皆以形象异名也飞崖自山顶飞跨北插中流东西俱高剜成门阳江从城南来流贯而合于漓	盖一山而皆以形象异名也。飞崖自山顶飞跨，北插中流，东西俱高剜成门，阳江从城南来，流贯而合于漓。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
子墨子言曰虽四五国则得利焉犹谓之非行道也	子墨子言曰：虽四五国则得利焉，犹谓之非行道也。	[13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
悲莫悲于精散病莫病于无常短莫短于苟得幽莫幽于贪鄙	悲莫悲于精散，病莫病于无常，短莫短于苟得，幽莫幽于贪鄙，	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2]
其朝臣丧制未有定闻	其朝臣丧制，未有定闻。	[13, 13, 13, 13, 2, 13, 13, 13, 0]
土王阴类魏为土德斯为灵征	土王阴类，魏为土德，斯为灵征。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
遂以范延光为枢密使而重诲居职如故	遂以范延光为枢密使，而重诲居职如故。	[13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
天嘉元年二月王琳引合肥漅湖之衆舳舻相次而下	天嘉元年二月，王琳引合肥漅湖之衆，舳舻相次而下。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
太后亲御太华殿寝其女于帐中睿与张祐侍坐	太后亲御太华殿，寝其女于帐中，睿与张祐侍坐。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
使婆卢火征移懒路迪古乃兵斡鲁古阿鲁抚谕斡忽急赛两路系辽籍女直实不迭往完睹路执辽障鹰官达鲁古部副使辞列宁江州渤海大家奴	使婆卢火征移懒路迪古乃兵，斡鲁古、阿鲁抚谕斡忽、急赛两路系辽籍女直，实不迭往完睹路执辽障鹰官达鲁古部副使辞列、宁江州渤海大家奴。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 8, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 0]
癸酉突厥围雁门上下惶怖撤民屋为守御之具城中兵民十五万口食仅可支二旬雁门四十一城突厥克其三十九唯雁门崞不下突厥急攻雁门矢及御前上大惧抱赵王杲而泣目尽肿	癸酉，突厥围雁门，上下惶怖，撤民屋为守御之具，城中兵民十五万口，食仅可支二旬，雁门四十一城，突厥克其三十九，唯雁门、崞不下。突厥急攻雁门，矢及御前；上大惧，抱赵王杲而泣，目尽肿。	[13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 8, 13, 13, 0, 13, 13, 13, 13, 13, 2, 13, 13, 13, 1, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 0]
辛酉侍中司徒魏郡王陈建薨	辛酉，侍中、司徒、魏郡王陈建薨。	[13, 2, 13, 8, 13, 8, 13, 13, 13, 13, 13, 0]
夫兴国之君先修人事次尽地利后观天时故万举万全	夫兴国之君，先修人事，次尽地利，后观天时，故万举万全。	[13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
浑邪王与休屠王恐谋降汉汉使骠骑将军往迎之	浑邪王与休屠王恐，谋降汉，汉使骠骑将军往迎之。	[13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 0]
可行五十里至一城墙壁尽黑无诸树木	可行五十里，至一城，墙壁尽黑，无诸树木。	[13, 13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
桓帝元嘉元年秋武陵蛮詹山等四千余人反叛拘执县令屯结深山	桓帝元嘉元年秋，武陵蛮詹山等四千余人反叛，拘执县令，屯结深山。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 0]
谓初通判饶州遇异人曰君貌类李赞皇既而曰赞皇不及也	谓初通判饶州，遇异人曰：君貌类李赞皇。既而曰：赞皇不及也。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 3, 13, 13, 13, 13, 13, 0, 13, 13, 3, 13, 13, 13, 13, 0]
座皆称善	座皆称善。	[13, 13, 13, 0]
秺侯狄孥虔恭忠信奕世载德贝也于子孙	秺侯狄孥，虔恭忠信，奕世载德，贝也于子孙。	[13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
高祖奉玉卮起为太上皇寿曰始大人常以臣无赖不能治产业不如仲力	高祖奉玉卮，起为太上皇寿，曰：始大人常以臣无赖，不能治产业，不如仲力。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 3, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
丁卯诏以末甘孙民贫除仓站税课外免其役三年	丁卯，诏以末甘孙民贫，除仓站税课外，免其役三年。	[13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
沮渠牧犍之亡也凉州人阚爽据高昌自称太守	沮渠牧犍之亡也，凉州人阚爽据高昌，自称太守。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
三礼之行在殿不在宫	三礼之行，在殿不在宫。	[13, 13, 13, 2, 13, 13, 13, 13, 0]
以任子官翰林前此未有也	以任子官翰林，前此未有也。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
时四明人姚翀通判青州全豫令还山阳及涟水而复止之	时四明人姚翀通判青州，全豫令还山阳，及涟水而复止之。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
帝复遣封赐融友书所以尉藉之甚厚	帝复遣封，赐融、友书，所以尉藉之甚厚。	[13, 13, 13, 2, 13, 8, 13, 2, 13, 13, 13, 13, 13, 13, 0]
任安笞辱北军钱官小吏小吏上书言之以为受太子节言幸与我其鲜好者	任安笞辱北军钱官小吏，小吏上书言之，以为受太子节，言幸与我其鲜好者。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
乃入与夫人嫔御以下诀别莫不歔欷掩涕	乃入与夫人嫔御以下诀别，莫不歔欷掩涕。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
朝议诸道兵既进疑宋以计缓师诏端遣拱还宋	朝议诸道兵既进，疑宋以计缓师，诏端遣拱还宋。	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
粲宗人通直郎袁达以为不宜示异同粲曰彼若以主幼时艰与桂阳时不异劫我入台便无辞以拒	粲宗人通直郎袁达以为不宜示异同，粲曰：彼若以主幼时艰，与桂阳时不异，劫我入台，便无辞以拒。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 0]
是夕有声如雷山矿豁开数十丈银液坌然而涌与入用之数相符	是夕有声如雷，山矿豁开数十丈，银液坌然而涌，与入用之数相符。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
如炀帝者盖由失道虐民自取灭亡	如炀帝者盖由失道虐民，自取灭亡。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
十年遣招讨使李涛攻越战于临安裨将曹筠奔于越涛败被执	十年，遣招讨使李涛攻越，战于临安，裨将曹筠奔于越，涛败被执。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
五月癸未如九成宫	五月癸未，如九成宫。	[13, 13, 13, 2, 13, 13, 13, 0]
时三子参丰钦皆在位乃悉令解宫父子相与归乡里闭门不出入犹用汉家祖腊	时，三子参、丰、钦皆在位，乃悉令解宫，父子相与归乡里，闭门不出入，犹用汉家祖腊。	[2, 13, 13, 8, 8, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 0]
丙戌瘗城外战士骸	丙戌，瘗城外战士骸。	[13, 2, 13, 13, 13, 13, 13, 0]
姜维闻之引还王颀追败维于强川	姜维闻之，引还，王颀追败维于强川。	[13, 13, 13, 2, 13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
察四王之情贪得人之意也度其行暴乱之兵也	察四王之情，贪得人之意也；度其行，暴乱之兵也。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 1, 13, 13, 2, 13, 13, 13, 13, 0]
梁初江南岭表悉为吴与南汉分据而光稠独以虔韶二州请命于京师愿通道路输贡赋	梁初，江南、岭表悉为吴与南汉分据，而光稠独以虔、韶二州请命于京师，愿通道路，输贡赋。	[13, 2, 13, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 8, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 2, 13, 13, 0]
因殴仙芝伤其首其众喧噪不已	因殴仙芝，伤其首，其众喧噪不已。	[13, 13, 13, 2, 13, 13, 2, 13, 13, 13, 13, 13, 0]
其卒民果作难而杀子阳	其卒，民果作难而杀子阳。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
遂收蝎一宿得五斗	遂收蝎，一宿得五斗。	[13, 13, 2, 13, 13, 13, 13, 0]
高帝验其言擢迁光禄大夫以簏盛灵産上灵台令其占候	高帝验其言，擢迁光禄大夫，以簏盛灵産上灵台，令其占候。	[13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
八月乙未以张俊为淮西宣抚使驻盱眙杨沂中为淮西制置使主管侍卫马军司刘锜副之并驻庐州	八月乙未，以张俊为淮西宣抚使，驻盱眙；杨沂中为淮西制置使，主管侍卫马军司刘锜副之，并驻庐州。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 1, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
命殿侍鬻犀带直钱三十万亡之帝亦不问	命殿侍鬻犀带，直钱三十万，亡之，帝亦不问。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 2, 13, 13, 13, 0]
世祖即位始为河南尹封被阳侯	世祖即位，始为河南尹，封被阳侯。	[13, 13, 13, 2, 13, 13, 13, 13, 2, 13, 13, 13, 0]
显祖嘉其声效复赐衣服	显祖嘉其声效，复赐衣服。	[13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
六年为河北转运副使驿书言边事曰	六年，为河北转运副使，驿书言边事曰：	[13, 2, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 3]
鲁阳文君曰然吾以子之言观之则天下之所谓可者未必然也	鲁阳文君曰：然吾以子之言观之，则天下之所谓可者，未必然也。	[13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 0]
丧纪共其丝纩组文之物	丧纪，共其丝纩组文之物。	[13, 2, 13, 13, 13, 13, 13, 13, 13, 0]
至德二年追赠秘书监	至德二年，追赠秘书监。	[13, 13, 13, 2, 13, 13, 13, 13, 0]
蜀主尝自夹城过闻太子与诸王斗鸡击球喧呼之声叹曰吾百战以立基业此辈其能守之乎	蜀主尝自夹城过，闻太子与诸王斗鸡击球喧呼之声，叹曰：吾百战以立基业，此辈其能守之乎！	[13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 3, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 12]
文襄善之	文襄善之。	[13, 13, 13, 0]
大将军光更尊立武帝曾孙是为孝宣帝	大将军光更尊立武帝曾孙，是为孝宣帝。	[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 2, 13, 13, 13, 13, 0]
君其许之而修德以待其归	君其许之，而修德以待其归。	[13, 13, 13, 2, 13, 13, 13, 13, 13, 13, 0]
召齐泰黄子澄还	召齐泰、黄子澄还。	[13, 13, 8, 13, 13, 13, 0]
